Question/Answer,Correct Answer
"216
  The lattice-based model aims at protecting against: <br></br>A. Illegal attributes. <br></br>B. None of the choices.  <br></br>C. Illegal information flow among the entities. <br></br>D. Illegal access rights 
<br></br>",Answer: C CISSPExplanation: The lattice-based model aims at protecting against illegal information flow among theentities. One security class is given to each entity in the system. A flow relationamong the security classes is defined to denote that information in one class can flowinto another class. 
"217
  Which of the following are the components of the Chinese wall model? <br></br>A. Conflict if interest. <br></br>B. All of the choices.  <br></br>C. Subject <br></br>D. Company Datasets. 
<br></br>",Answer: B Explanation: The model has the following component: COMPONENT EXAMPLE Subject Analyst Object Data item for a single client Company Datasets Give for each company its own company dataset Conflict of interest classes Give for each object companies that have a conflict ofinterest Labels Company dataset + conflict of interest class Sanitized information No access restriction 
"218
  Enforcing minimum privileges for general system users can be easily achieved through theuse of: <br></br>A. TSTEC <br></br>B. RBAC <br></br>C. TBAC <br></br>D. IPSEC 
<br></br>","Answer: B Explanation: Ensuring least privilege requires identifying what the user's job is, determining theminimum set of privileges required to perform that job, and restricting the user to a domainwith those privileges and nothing more. By denying to subjects transactions that are notnecessary for the performance of their duties, those denied privileges couldn't be used to circumvent the organizational security policy. Although the concept of least CISSPprivilege currently exists within the context of the TCSEC, requirements restrict thoseprivileges of the system administrator. Through the use of RBAC, enforced minimumprivileges for general system users can be easily achieved. "
"219
  What is necessary for a subject to have write access to an object in a Multi-Level SecurityPolicy? <br></br>A.) The subject's sensitivity label must dominate the object's sensitivity label <br></br>B.) The subject's sensitivity label subordinates the object's sensitivity label <br></br>C.) The subject's sensitivity label is subordinated by the object's sensitivity label <br></br>D.) The subject's sensitivity label is dominated by the object's sensitivity label 
<br></br>","Answer: D Reference: ""Simple security property. A subject can read an object if the access of the class ofthe subject dominates the access class of the object. Thus, a subject can read down but cannotread up."" Pg 105 Hansche: Official (ISC)2 Guide to the CISSP Exam "
"220
  Which of the following security modes of operation involved the highest risk? <br></br>A.)Compartmented Security Mode <br></br>B.) Multilevel Security Mode <br></br>C.) System-High Security Mode <br></br>D.) Dedicated Security Mode 
<br></br>","Answer: B ""Security Modes In a secure environment, information systems are configured to process information in one offour security modes. These modes are set out by the Department of Defense as follows:Systems running compartmental security mode may process two or more types ofcompartmented information. All system users must have an appropriate clearance to access allinformation processed by the system but do not necessarily have a need to know all of theinformation in the system. Compartments are subcategories or compartments within the differentclassification levels and extreme care is taken to preserve the information within the differentcompartments. The system may be classified at the Secret level but contain five differentcompartments, all classified Secret. If a user has only the need to know about two of the fivedifferent compartments to do their job, that user can access the system but can only access thetwo compartments. Compartmented systems are usually dedicated systems for each specificcompartment to prevent the chance of any errors, because compartmentalization is the mostsecret of all the secrets. Systems running in the dedicated security mode are authorized to process only a specificclassification level at a time, and all system users must have clearance and a need to know thatinformation. Systems running in multilevel security mode are authorized to process information at more than CISSPone level of security even when all system users do not have appropriate clearances or a need toknow for all information processed by the system. Systems running in system-high security mode are authorized to process only information thatall system users are cleared to read and to have a valid need to know. These systems are nottrusted to maintain separation between security levels, and all information processed by thesesystems must be handled as if it were classified at the same level as the most highly classifiedinformation processed by the system."" Pg. 234 Tittel: CISSP Study Guide "
"221
  Controlled Security Mode is also known as: <br></br>A.) Multilevel Security Mode <br></br>B.) Partitioned Security Mode <br></br>C.) Dedicated Security Mode <br></br>D.) System-high Security Mode 
<br></br>",Answer: A Reference: pg 264 Krutz: CISSP Prep Guide: Gold Edition 
"222
  The unauthorized mixing of data of one sensitivity level and need-to-know with data of alower sensitivity level, or different need-to-know, is called data <br></br>A. Contamination <br></br>B. Seepage <br></br>C. Aggregation <br></br>D. Commingling 
<br></br>","Answer: A ? WOW if you are reading these comments then you know I have disagreed with a bunch of theoriginal answers!Well here is another.The original was Seepage.I think it is Contamination.""The intermixing of data at different sensitivity and need-to-know levels.The lower-level data issaid to be contaminated by the higher-level data; thus contaminating (higher-level) data mightnot receive the required level of protection""-Ronald Krutz The CISSP PREP Guide (goldedition) pg 890 "
"223
  Which one of the following should be employed to protect data against undetectedcorruption? <br></br>A. Non-repudiation <br></br>B. Encryption <br></br>C. Authentication CISSP<br></br>D. Integrity 
<br></br>",Answer: D 
"224
  Which of the following is a communication path that is not protected by the system'snormal security mechanisms? <br></br>A.) A trusted path <br></br>B.) A protection domain <br></br>C.) A covert channel <br></br>D.) A maintenance hook 
<br></br>",Answer: C 
"225
  A channel within a computer system or network that is designed for the authorizedtransfer of information is identified as a(n)? <br></br>A.) Covert channel <br></br>B.) Overt channel <br></br>C.) Opened channel <br></br>D.) Closed channel 
<br></br>","Answer: B ""An overt channel is a channel of communication that was developed specifically for communicationpurposes. Processes should be communicating through overt channels, not covert channels."" Pg 237Shon Harris: All-In-One CISSP Certification Guide. "
"226
  Covert channel is a communication channel that can be used for: <br></br>A. Hardening the system. <br></br>B. Violating the security policy.  <br></br>C. Protecting the DMZ. <br></br>D. Strengthening the security policy. 
<br></br>",Answer: B Explanation: Covert channel is a communication channel that allows transfer of information in amanner that violates the system's security policy. 
"227
  CISSPWhat is an indirect way to transmit information with no explicit reading of confidentialinformation? <br></br>A. Covert channels <br></br>B. Backdoor <br></br>C. Timing channels <br></br>D. Overt channels 
<br></br>",Answer: A Explanation: Covert channels: indirect ways for transmitting information with no explicit reading ofconfidential information. This kind of difficulties induced some researchers tore-think from scratch the whole problem of guaranteeing security in computer systems. 
"228
  Which one of the following describes a covert timing channel? <br></br>A. Modulated to carry an unintended information signal that can only be detected by special,sensitive receivers. <br></br>B. Used by a supervisor to monitor the productivity of a user without their knowledge. <br></br>C. Provides the timing trigger to activate a malicious program disguised as a legitimate function. <br></br>D. Allows one process to signal information to another by modulating its own use of systemresources. 
<br></br>","Answer: D A covert channel in which one process signals information to another by modulating its own useof system resources (for example, CPU time) in such a way that this manipulation affects the realresponse time observed by the second process. - Shon Harris All-in-one CISSP CertificationGuide pg 929 "
"229
  Covert channel analysis is required for <br></br>A. Systems processing Top Secret or classified information. <br></br>B. A Trusted Computer Base with a level of trust B2 or above. <br></br>C.A system that can be monitored in a supervisor state. <br></br>D. Systems that use exposed communication links. 
<br></br>","Answer: B Table 6.6 Standards Comparison B2 Structured Protection (covert channel, device labels, subject sensitivity labels, trusted path,trusted facility management, configuration management) F4+E4 EAL5 - Roberta Bragg CISSPCertification Training Guide (que) pg 370 CISSP"
"230
  In multi-processing systems, which one of the following lacks mandatory controls and isNORMALLY AVOIDED for communication? <br></br>A. Storage channels <br></br>B. Covert channels <br></br>C. Timing channels <br></br>D. Object channels 
<br></br>",Answer: B Covert channel - A communication path that enables a process to transmit information in a way thatviolates the system's security policy.- Shon Harris All-in-one CISSP Certification Guide pg 929 
"231
  What security risk does a covert channel create? <br></br>A. A process can signal information to another process. <br></br>B. It bypasses the reference monitor functions. <br></br>C. A user can send data to another user. <br></br>D. Data can be disclosed by inference. 
<br></br>","Answer: A ""In a covert timing channel, one process relays information to another by modulating it use ofsystem resources. The modulation of system resources can be accessing the hard drive, usingexcessive CPU cycles, or head placement on a hard drive track."" Pg 266 Shon Harris: CISSPAll-In-One Certification Exam Guide "
"232
  What is the essential difference between a self-audit and an independent audit? <br></br>A.)Tools used <br></br>B.) Results <br></br>C.) Objectivity <br></br>D.) Competence 
<br></br>",Answer: C 
"233
  What is called the formal acceptance of the adequacy of a system's overall security by themanagement? <br></br>A.) Certification CISSP<br></br>B.) Acceptance <br></br>C.) Accreditation <br></br>D.) Evaluation 
<br></br>",Answer: C 
"234
  FIPS-140 is a standard for the security of: <br></br>A.) Cryptographic service providers <br></br>B.) Smartcards <br></br>C.) Hardware and software cryptographic modules <br></br>D.) Hardware security modules 
<br></br>",Answer: C 
"235
  Which of the following will you consider as the MOST secure way of authentication? <br></br>A. Biometric <br></br>B. Password  <br></br>C. Token <br></br>D. Ticket Granting 
<br></br>","Answer: A Explanation: Biometric authentication systems take advantage of an individual's unique physicalcharacteristics in order to authenticate that person's identity. Various forms of biometric authentication include face, voice, eye, hand, signature, and fingerprint, each have their own advantages and disadvantages. When combined with the use of a PINit can provide two factors authentication. "
"236
  In biometric identification systems, at the beginning, it was soon apparent that truly positiveidentification could only be based on physical attributes of a person. This raised thenecessicity of answering 2 questions: <br></br>A.) what was the sex of a person and his age <br></br>B.) what part of the body to be used and how to accomplish identification to be viable <br></br>C.) what was the age of a person and his income level <br></br>D.) what was the tone of the voice of a person and his habits 
<br></br>",Answer: B CISSP
"237
  What is called the percentage of invalid subjects that are falsely accepted? <br></br>A.)False Rejection Rate (FRR) or Type I Error <br></br>B.) False Acceptance Rate (FAR) or Type II Error <br></br>C.) Crossover Error Rate (CER) <br></br>D.) True Acceptance Rate (TAR) or Type III error 
<br></br>",Answer: B 
"238
  Which of the following biometrics devices has the highs Crossover Error Rate (CER)? <br></br>A.)Iris scan <br></br>B.) Hang Geometry <br></br>C.) Voice pattern <br></br>D.) Fingerprints 
<br></br>",Answer: C 
"239
  Which of the following biometric parameters are better suited for authentication use over along period of time? <br></br>A.) Iris pattern <br></br>B.) Voice pattern <br></br>C.) Signature dynamics <br></br>D.) Retina pattern 
<br></br>",Answer: A 
"240
  Which one of the following is the MOST critical characteristic of a biometrics system? <br></br>A. Acceptability <br></br>B. Accuracy  <br></br>C. Throughput <br></br>D. Reliability 
<br></br>","Answer: B We don't agree with the original answer, which was throughput. Granted throughput is vital butKrutz lists accuracy is most important. In addition to the accuracy of the biometric systems, there are OTHER factors that must also beconsidered. These factors include the enrollment time, the throughput rate, and acceptability. -Ronald Krutz The CISSP PREP Guide (gold edition) pg 51 CISSP"
"241
  Which of the following biometric devices has the lowest user acceptance level? <br></br>A.)Voice recognition <br></br>B.) Fingerprint scan <br></br>C.) Hand geometry <br></br>D.) Signature recognition 
<br></br>",Answer: B 
"242
  Biometric performance is most commonly measured in terms of: <br></br>A. FRR and FAR <br></br>B. FAC and ERR  <br></br>C. IER and FAR <br></br>D. FRR and GIC 
<br></br>","Answer: A Explanation: Biometric performance is most commonly measured in two ways: False Rejection Rate(FRR), and False Acceptance Rate (FAR). The FRR is the probability that you are notauthenticated to access your account. A strict definition states that the FRR is theprobability that a mated comparison (i.e. 2 biometric samples of the same finger)incorrectly determines that there is no match. "
"243
  What is the most critical characteristic of a biometric identifying system? <br></br>A.)Perceived intrusiveness <br></br>B.) Storage requirements <br></br>C.) Accuracy <br></br>D.) Reliability 
<br></br>",Answer: C 
"244
  Which of the following biometric characteristics cannot be used to uniquely authenticatean individual's identity? <br></br>A.) Retina scans <br></br>B.) Iris scans <br></br>C.) Palm scans CISSP<br></br>D.) Skin scans 
<br></br>",Answer: D Biometrics: Fingerprints Palm Scan Hand Geometry Retina Scan Iris Scan Signature Dynamics Keyboard Dynamic Voice Print Facial Scan Hand Topology Pg. 128-130 Shon Harris All-In-One CISSP Certification Exam Guide 
"245
  In biometric identification systems, at the beginning, it was soon apparent that truly positiveidentification could only be based on physical attributes of a person. This raised thenecessicity of answering 2 questions: <br></br>A.) What was the sex of a person and his age <br></br>B.) what part of body to be used and how to accomplish identification to be viable <br></br>C.) what was the age of a person and his income level <br></br>D.) what was the tone of the voice of a person and his habits 
<br></br>",Answer: B 
"246
  You are comparing biometric systems. Security is the top priority. A low   is most important in this regard. <br></br>A. FAR <br></br>B. FRR <br></br>C. MTBF <br></br>D. ERR 
<br></br>","Answer: A Explanation: When comparing biometric systems, a low false acceptance rate is most important whensecurity is the priority. Whereas, a low false rejection rate is most important when con -venience is the priority. All biometric implementations balance these two criteria. Somesystems use very high FAR's such as 1 in 300. This means that the likelihood that thesystem will accept someone other than the enrolled user is 1 in 300. However, the CISSPlikelihood that the system will reject the enrolled user (its FRR) is very low, givingthem ease of use, but with low security. Most fingerprint systems should be able to runwith FARs of 1 in 10,000 or better. "
"247
  Almost all types of detection permit a system's sensitivity to be increased or decreasedduring an inspection process. To have a valid measure of the system performance: <br></br>A.) The CER is used. <br></br>B.) the FRR is used <br></br>C.) the FAR is used <br></br>D.) none of the above choices is correct 
<br></br>","Answer: A ""When a biometric system reject an authorized individual, it is called a Type 1 error. When thesystem accepts impostors who should be rejected, it is called a Type II error. The goal is toobtain low numbers for each type of error. When comparing different biometric systems, manydifferent variables are used, but one of the most important variables is the crossover error rate(CER). This rating is stated in a percentage and represents the point at which the false rejectionrate equals the false acceptance rate. This rating is the most important measurement whendetermining the system's accuracy."" Pg 113 Shon Harris: All-in-One CISSP Certification "
"248
  The quality of finger prints is crucial to maintain the necessary: <br></br>A. FRR <br></br>B. ERR and FAR  <br></br>C. FAR <br></br>D. FRR and FAR 
<br></br>","Answer: D Explanation: Another factor that must be taken into account when determining the necessary FAR andFRR for your organization is the actual quality of the fingerprints in your user population.ABC's experience with several thousand users, and the experience of its customers,indicates that a percentage of the populations do not have fingerprints of sufficient qualityto allow for authentication of the individual. Approximately 2.5% of employees fall intothis group in the general office worker population. For these users, a smart card token with password authentication is recommended. "
"249
  By requiring the user to use more than one finger to authenticate, you can: CISSP<br></br>A. Provide statistical improvements in EAR. <br></br>B. Provide statistical improvements in MTBF. <br></br>C. Provide statistical improvements in FRR. <br></br>D. Provide statistical improvements in ERR. 
<br></br>",Answer: C Explanation: Statistical improvements in false rejection rates can also be achieved by requiring theuser to use more than one finger to authenticate. Such techniques are referred to asflexible verification. 
"250
  Which of the following is being considered as the most reliable kind of personalidentification? <br></br>A. Token <br></br>B. Finger print <br></br>C. Password <br></br>D. Ticket Granting 
<br></br>","Answer: B Explanation: Every person's fingerprint is unique and is a feature that stays with the personthroughout his/her life. This makes the fingerprint the most reliable kind of personalidentification because it cannot be forgotten, misplaced, or stolen. Fingerprintauthorization is potentially the most affordable and convenient method of verifying aperson's identity. "
"251
  Which of the following methods is more microscopic and will analyze the direction of theridges of the fingerprints for matching? <br></br>A. None of the choices. <br></br>B. Flow direct <br></br>C. Ridge matching <br></br>D. Minutia matching 
<br></br>","Answer: D Explanation: There are two approaches for capturing the fingerprint image for matching: minutia matchingand global pattern matching. Minutia matching is a more microscopic approach CISSPthat analyzes the features of the fingerprint, such as the location and direction of the ridges, for matching. The only problem with this approach is that it is difficult to extract the minutiae points accurately if the fingerprint is in some way distorted. The more macroscopic approach is global pattern matching where the flow of the ridgesis compared at all locations between a pair of fingerprint images; however, this can beaffected by the direction that the image is rotated. "
"252
  Which of the following are the types of eye scan in use today? <br></br>A. Retinal scans and body scans. <br></br>B. Retinal scans and iris scans.  <br></br>C. Retinal scans and reflective scans. <br></br>D. Reflective scans and iris scans. 
<br></br>","Answer: B Explanation: There are two types of eye scan in use today for authentication purposes: retinal scansand iris scans. Retinal Scan technology maps the capillary pattern of the retina, a thin (1/50th inch) nerve on the back of the eye. To enroll, a minimum of five scans isrequired, which takes 45 seconds. The subject must keep his head and eye motionlesswithin 1/2"" of the device, focusing on a small rotating point of green light. 320 - 400points of reference are captured and stored in a 35-byte field, ensuring the measure isaccurate with a negligible false rejection rate. This compares to 30-70 points of reference for a finger scan. Unfortunately a retinalscan is considerably more intrusive than an iris scans and many people are hesitant to use the device [Retina-scan]. In addition a significant number of people may be unableto perform a successful enrolment, and there exist degenerative diseases of the retinathat alter the scan results over time. Despite these disadvantages, there are severalsuccessful implementations of this technology [Retina-scan]. "
"253
  Which of the following eye scan methods is considered to be more intrusive? <br></br>A. Iris scans <br></br>B. Retinal scans  <br></br>C. Body scans <br></br>D. Reflective scans 
<br></br>","Answer: B Explanation: There are two types of eye scan in use today for authentication purposes: retinal scans CISSPand iris scans. Retinal Scan technology maps the capillary pattern of the retina, a thin (1/50th inch) nerve on the back of the eye. To enroll, a minimum of five scans isrequired, which takes 45 seconds. The subject must keep his head and eye motionlesswithin 1/2"" of the device, focusing on a small rotating point of green light. 320 - 400points of reference are captured and stored in a 35-byte field, ensuring the measure isaccurate with a negligible false rejection rate. This compares to 30-70 points of reference for a finger scan. Unfortunately a retinal scanis considerably more intrusive than an iris scans and many people are hesitant to use the device [Retina-scan]. In addition a significant number of people may be unableto perform a successful enrolment, and there exist degenerative diseases of the retinathat alter the scan results over time. Despite these disadvantages, there are severalsuccessful implementations of this technology [Retina-scan]. "
"254
  Which of the following offers greater accuracy then the others? <br></br>A. Facial recognition <br></br>B. Iris scanning  <br></br>C. Finger scanning <br></br>D. Voice recognition 
<br></br>","Answer: B Explanation: Iris scanning offers greater accuracy than finger scanning, voice or facial recognition,hand geometry or keystroke analysis. It is safer and less invasive than retinal scanning, an important legal consideration [Nuger]. Any company thinking ofusing biometrics would do well to ensure that they comply with existing privacy laws. "
"255
  In addition to the accuracy of the biometric systems, there are other factors that must alsobe considered: <br></br>A.) These factors include the enrollment time and the throughput rate, but not acceptability. <br></br>B.) These factors do not include the enrollment time, the throughput rate, and acceptability. <br></br>C.) These factors include the enrollment time, the throughput rate, and acceptability. <br></br>D.) These factors include the enrollment time, but not the throughput rate, neither theacceptability. 
<br></br>","Answer: C In addition to the accuracy of the biometric systems, there are OTHER factors that must also beconsidered. These factors include the enrollment time, the throughput rate, and acceptability.-Ronald Krutz The CISSP PREP Guide (gold edition) pg 51 CISSP"
"256
  What physical characteristics does a retinal scan biometric device measure? <br></br>A.)The amount of light reaching the retina <br></br>B.) The amount of light reflected by the retina <br></br>C.) The size, curvature, and shape of the retina <br></br>D.) The pattern of blood vessels at the back of the eye 
<br></br>",Answer: D 
"257
  Type II errors occur when which of the following biometric system rates is high? <br></br>A. False accept rate <br></br>B. False reject rate  <br></br>C. Crossover error rate <br></br>D. Speed and throughput rate 
<br></br>",Answer: A There are three main performance issues in biometrics. These measures are as follows: False Rejection Rate (FRR) or Type 1 Error. The percentage of valid subjects that are falselyrejected. False Acceptance Rate (FAR) or Type 2 Error. The percentage of invalid subjects that are falselyaccepted. Crossover Error Rate (CER). The percent in which the False Rejection Rate equals the FalseAcceptance Rate. pg 38 Krutz: The CISSP Prep Guide 
"258
  Which of the following are the valid categories of hand geometry scanning? <br></br>A. Electrical and image-edge detection. <br></br>B. Mechanical and image-edge detection.  <br></br>C. Logical and image-edge detection. <br></br>D. Mechanical and image-ridge detection. 
<br></br>","Answer: B Explanation: Hand geometry reading (scanning) devices usually fall into one of two categories:mechanical or image-edge detection. Both methods are used to measure specificcharacteristics of a person's hand such as length of fingers and thumb, widths, anddepth. CISSP"
"259
  In the world of keystroke dynamics, what represents the amount of time you hold down ina particular key? <br></br>A. Dwell time <br></br>B. Flight time <br></br>C. Dynamic time <br></br>D. Systems time 
<br></br>","Answer: A Explanation: Keystroke dynamics looks at the way a person types at a keyboard. Specifically,keyboard dynamics measures two distinct variables: ""dwell time"" which is the amount oftime you hold down a particular key and ""flight time"" which is the amount of time ittakes a person to switch between keys. Keyboard dynamics systems can measure one'skeyboard input up to 1000 times per second. "
"260
  In the world of keystroke dynamics, what represents the amount of time it takes a personto switch between keys? <br></br>A. Dynamic time <br></br>B. Flight time <br></br>C. Dwell time <br></br>D. Systems time. 
<br></br>","Answer: B Explanation: Keystroke dynamics looks at the way a person types at a keyboard. Specifically,keyboard dynamics measures two distinct variables: ""dwell time"" which is the amount oftime you hold down a particular key and ""flight time"" which is the amount of time ittakes a person to switch between keys. Keyboard dynamics systems can measure one'skeyboard input up to 1000 times per second. "
"261
  Which of the following are the benefits of Keystroke dynamics? <br></br>A. Low cost <br></br>B. Unintrusive device <br></br>C. Transparent <br></br>D. All of the choices.   CISSP
<br></br>","Answer: D Explanation: Keystroke dynamics is behavioral in nature. It works well with users that can ""touchtype"". Key advantages in applying keyboard dynamics are that the device used in thissystem, the keyboard, is unintrusive and does not detract from one's work. Enrollmentas well as identification goes undetected by the user. Another inherent benefit to using keystroke dynamics as an identification device is that the hardware (i.e.keyboard) is inexpensive. Currently, plug-in boards, built-in hardware and firmware, orsoftware can represent keystroke dynamics systems. "
"262
  DSV as an identification method check against users: <br></br>A. Fingerprints <br></br>B. Signature  <br></br>C. Keystrokes <br></br>D. Facial expression 
<br></br>","Answer: B Explanation: Signature identification, also known as Dynamic Signature Verification (DSV), isanother natural fit in the world of biometrics since identification through one's signatureoccurs during many everyday transactions. Any process or transaction that requires anindividual's signature is a prime contender for signature identification. "
"263
  Signature identification systems analyze what areas of an individual's signature? <br></br>A. All of the choices EXCEPT the signing rate. <br></br>B. The specific features of the signature.  <br></br>C. The specific features of the process of signing one's signature. <br></br>D.The signature rate. 
<br></br>","Answer: A Explanation: Signature identification systems analyze two different areas of an individual's  signa -ture: the specific features of the signature and specific features of the process of signing one's signature. Features that are taken into account and measuredinclude speed, pen pressure, directions, stroke length, and the points in time whenthe pen is lifted from the paper. CISSP"
"264
  What are the advantages to using voice identification? <br></br>A. All of the choices. <br></br>B. Timesaving  <br></br>C. Reliability <br></br>D. Flexibility 
<br></br>","Answer: A Explanation: The many advantages to using voice identification include:Considered a ""natural"" biometric technology Provides eyes and hands-free operation Reliability Flexibility Timesaving data input Eliminate spelling errors Improved data accuracy "
"265
  What are the methods used in the process of facial identification? <br></br>A. None of the choices. <br></br>B. Detection and recognition.  <br></br>C. Scanning and recognition. <br></br>D. Detection and scanning. 
<br></br>",Answer: B Explanation: The process of facial identification incorporates two significant methods: detectionand recognition. 
"266
  In the process of facial identification, the basic underlying recognition technology of facialidentification involves: <br></br>A. Eigenfeatures of eigenfaces. <br></br>B. Scanning and recognition. <br></br>C. Detection and scanning. <br></br>D. None of the choices.   CISSP
<br></br>","Answer: A Explanation: Recognition is comparing the captured face to other faces that have been saved and storedin a database. The basic underlying recognition technology of facial feature identificationinvolves either eigenfeatures (facial metrics) or eigenfaces. The German word ""eigen""refers to recursive mathematics used to analyze unique facial characteristics. "
"267
  What is known as the probability that you are not authenticated to access your account? <br></br>A. ERR <br></br>B. FRR  <br></br>C. MTBF <br></br>D. FAR 
<br></br>","Answer: B Explanation: Biometric performance is most commonly measured in two ways: False Rejection Rate(FRR), and False Acceptance Rate (FAR). The FRR is the probability that you are notauthenticated to access your account. A strict definition states that the FRR is theprobability that a mated comparison (i.e. 2 biometric samples of the same finger)incorrectly determines that there is no match. "
"268
  What is known as the chance that someone other than you is granted access to youraccount? <br></br>A. ERR <br></br>B. FAR <br></br>C. FRR <br></br>D. MTBF 
<br></br>","Answer: B Explanation: The FAR is the chance that someone other than you is granted access to your account, inother words, the probability that a non-mated comparison (i.e. two biometric samples ofdifferent fingers) match. FAR and FRR numbers are generally expressed in terms ofprobability. CISSP"
"269
  What is typically used to illustrate the comparative strengths and weaknesses of eachbiometric technology? <br></br>A. Decipher Chart <br></br>B. Zephyr Chart <br></br>C. Cipher Chart <br></br>D. Zapper Chart 
<br></br>","Answer: B Explanation: The Zephyr Chart illustrates the comparative strengths and weaknesses of each biometrictechnology. The eight primary biometric technologies are listed around the outer border, and for each technology the four major evaluation criteria are ranked fromoutside (better) to inside (worse). Looking at dynamic signature verification (DSV) will illustrate how the Zephyr Chart works. "
"270
  In terms of the order of effectiveness, which of the following technologies is the mostaffective? <br></br>A. Fingerprint <br></br>B. Iris scan <br></br>C. Keystroke pattern <br></br>D. Retina scan 
<br></br>",Answer: B Explanation: The order of effectiveness has not changed for a few years. It is still the same todayas it was three years ago. The list below present them from most effective to listeffective: Iris scan Retina scan Fingerprint Hand geometry Voice pattern Keystroke pattern Signature 
"271
  In terms of the order of effectiveness, which of the following technologies is the least CISSPeffective? <br></br>A. Voice pattern <br></br>B. Signature <br></br>C. Keystroke pattern <br></br>D. Hand geometry 
<br></br>",Answer: B Explanation: The order of effectiveness has not changed for a few years. It is still the same todayas it was three years ago. The list below present them from most effective to listeffective: Iris scan Retina scan Fingerprint Hand geometry Voice pattern Keystroke pattern Signature 
"272
  In terms of the order of acceptance, which of the following technologies is the MOSTaccepted? <br></br>A. Hand geometry <br></br>B. Keystroke pattern <br></br>C. Voice Pattern <br></br>D. Signature 
<br></br>",Answer: C Explanation: The order of acceptance has slightly changed in the past years. It was Iris that was the most accepted method three years ago but today we have Voice Pattern that is by far themost accepted. Here is the list from most accepted first to least accepted at the bottom of the list: Voice Pattern Keystroke pattern Signature Hand geometry Handprint Fingerprint Iris Retina pattern CISSP
"273
  In terms of the order of acceptance, which of the following technologies is the LEASTaccepted? <br></br>A. Fingerprint <br></br>B. Iris <br></br>C. Handprint <br></br>D. Retina patterns 
<br></br>",Answer: D Explanation: The order of acceptance has slightly changed in the past years. It was Iris that was the most accepted method three years ago but today we have Voice Pattern that is by far themost accepted. Here is the list from most accepted first to least accepted at the bottom of the list: Voice Pattern Keystroke pattern Signature Hand geometry Handprint Fingerprint Iris Retina pattern 
"274
  Which of the following biometric characteristics cannot be used to uniquely authenticatean individual's identity? <br></br>A.) Retina scans <br></br>B.) Iris scans <br></br>C.) Palm scans <br></br>D.) Skin scans 
<br></br>",Answer: D 
"275
  Which of the following is true of two-factor authentication? <br></br>A.) It uses the RSA public-key signature based algorithm on integers with large prime factors <br></br>B.) It requires two measurements of hand geometry <br></br>C.) It does not use single sign-on technology CISSP<br></br>D.) It relies on two independent proofs of identity 
<br></br>",Answer: D 
"276
  What is Kerberos? <br></br>A.) A three-headed dog from Egyptian Mythology <br></br>B.) A trusted third-party authentication protocol <br></br>C.) A security model <br></br>D.) A remote authentication dial in user server 
<br></br>",Answer: B 
"277
  Which of the following is true about Kerberos? <br></br>A.) It utilized public key cryptography <br></br>B.) It encrypts data after a ticket is granted, but passwords are exchanged in plain text  <br></br>C.) It depends upon symmetric ciphers <br></br>D.) It is a second party authentication system 
<br></br>","Answer: C ""Kerberos relies upon symmetric key cryptography, specifically Data Encryption Standard(DES), and provides end-to-end security for authentication traffic between the client and the KeyDistribution Center (KDC)."" Pg. 15 Tittel: CISSP Study Guide "
"278
  Kerberos depends upon what encryption method? <br></br>A.) Public Key cryptography <br></br>B.) Private Key cryptography  <br></br>C.) El Gamal cryptography <br></br>D.) Blowfish cryptography 
<br></br>","Answer: B Kerberos uses symmetric key cryptography and provides end-to-end security, meaning thatinformation being passed between a user and a service is protected without the need of anintermediate component. Although it allows the use of passwords for authentication, it wasdesigned specifically to eliminate the need for transmitting passwords over the network. MostKerberos implementations work with cryptography keys and shared secret keys (private keys)instead of passwords. Pg 148 Shon Harris All-In-One CISSP Certification Exam Guide CISSP"
"279
  The primary service provided by Kerberos is which of the following? <br></br>A.) non-repudiation <br></br>B.) confidentiality  <br></br>C.) authentication <br></br>D.) authorization 
<br></br>",Answer: C 
"280
  Which of the following are authentication server systems with operational modes that canimplement SS0? <br></br>A.) Kerberos, SESAME and KryptoKnight <br></br>B.) SESAME, KryptoKnight and NetSP <br></br>C.) Kerberos and SESAME <br></br>D.) Kerberos, SESAME, KryptoKnight, and NetSP 
<br></br>","Answer: D ""Scripts, directory services, thin clients, Kerberos, SESAME, NetSP, scripted access, andKrtyptoKnight are examples of SSO mechanisms."" Pg. 14 Tittel: CISSP Study Guide Second Edition "
"281
  Which of the following is a trusted, third party authentication protocol that was developedunder Project Athena at MIT? <br></br>A.) Kerberos <br></br>B.) SESAME <br></br>C.) KryptoKnight <br></br>D.) NetSP 
<br></br>","Answer: A ""Kerberos is an authentication protocol and was designed in the mid-1980s as part of MIT'sProject Athena."" Pg 129 Shon Harris: All-in-One CISSP Certification "
"282
  Which of the following is true about Kerberos? <br></br>A.) It utilizes public key cryptography <br></br>B.) It encrypts data after a ticket is granted, but passwords are exchanged in plain text.  CISSP<br></br>C.) It depends upon symmetric ciphers <br></br>D.) It is a second party authentication system 
<br></br>",Answer: C 
